"","original","bias","std.error","minci","maxci","Cateogry"
"Time CE-H",-0.577943877778653,8.96581014767639e-05,0.00859959463888448,-0.589194632502576,-0.567008880559844,"Time"
"Chlorinated Wash ON",-0.295159064831157,0.000328915063552426,0.00936157914169162,-0.308082319120444,-0.283667554078545,"Reduction"
"Pre-Wash ON",-0.213540765158337,0.000679282505380407,0.0101297738520736,-0.227256014986803,-0.201488372156857,"Reduction"
"Temperature Transportation to C",0.0653006796662669,-5.6268063792303e-05,0.0103329867503239,0.0521246409521168,0.078724547953212,"Temperature"
"Time Transportation to C",-0.0652141296340647,0.000333956326954307,0.0100393831999333,-0.0782744331976649,-0.0527679414320065,"Time"
"Time H-Pre-cooling",0.0270587102316958,-0.000290167437671452,0.00995157693551236,0.0146728584133993,0.0402395682476013,"Time"
"Temperature Post P Storage",0.0262560486341825,7.46141548477186e-05,0.0102143206314982,0.0131685919226009,0.039382422353091,"Temperature"
"C_San_freq",0.0251122769164113,-4.60531868364984e-05,0.0104165300346448,0.0113703933420121,0.0387903858367103,"Reduction"
"Tr_St_P",0.0241794754599769,-0.000479223410363872,0.00965915937883541,0.0122030094324191,0.0368704795908307,"Processing"
"Cluster Size",-0.0211666383686376,-0.000663933928182418,0.00986356105335131,-0.0328864701028218,-0.00761764201416072,"Contamination Scen"
"Time Storage- Receiving",-0.0198102273311356,-0.000479516773650476,0.0103796907607039,-0.0326794567745131,-0.00627906764128084,"Time"
"Tr_P_St",-0.016621509672644,0.000273872566414004,0.00991541747700455,-0.0297906198893539,-0.00429114337424053,"Processing"
"Tr_Sh_P",-0.0161292386531743,-0.000108875235314432,0.010158106194209,-0.0291382380500362,-0.00311660877522817,"Processing"
"St_San_freq",-0.015856646204583,3.6198436052709e-05,0.00979277841476064,-0.0284201874064572,-0.00320900655505694,"Reduction"
"Cv_Compliance",-0.0145092666559188,-0.000368609287544246,0.0100062923270704,-0.0273461626402658,-0.00105436644255724,"Reduction"
"Sh_San_freq",0.0140294831036046,6.91356156041784e-05,0.00961786126326743,0.000926463544016386,0.0271115594457778,"Reduction"
"Optimized Washing ON",-0.0132834885572423,0.000237038367406425,0.010185196957761,-0.0262779016519766,-0.000450278999342302,"Reduction"
"Temperature Consumer Storage",-0.0123723528397409,0.000410558049254963,0.00996260757446492,-0.0249644950380984,-9.03827860082133e-05,"Temperature"
"Pre-Wash Efficacy",0.011469169309976,-0.0116823061646467,0.0100040276121287,0.0110843744506397,0.03506525705072,"Reduction"
"Time Consumer Storage",-0.0112763004539454,-0.000229388251538483,0.0103523702495172,-0.0248308522254311,0.00162706565411871,"Time"
"Pre-Wash Reduction",-0.0109142240651599,0.010751147345068,0.010176039853306,-0.0340855588665426,-0.00934471545533985,"Reduction"
"Length Pre-cooling",0.0107210004257105,-0.000360249753756254,0.0098210919500572,-0.00199409458512367,0.0237736021573329,"Time"
"Pre-cooling ON",-0.0103432541852325,0.000118143529249045,0.0098011884858049,-0.0228755210166695,0.00215642733091448,"Intervention"
"Tr_P_C",0.0100522603066244,6.24612190044602e-06,0.00997469078229081,-0.00283419381825279,0.0224366731541273,"Processing"
"Tr_P_Sh",0.0063718430453978,-0.000114073819616499,0.00964552885398053,-0.00574190540520374,0.0194962492773176,"Processing"
